TTDDRUGID	LNM	Indication	ICD9	ICD10
DAP000336	Chlorpheniramine	Allergic rhinitis; Urticaria	477, 708	J30, L50
DAP000337	Cyclizine	Nausea; Vomiting	787, 787.0	R11
DAP000338	Cimetidine	Acid-reflux disorders	530.81	K21
DAP000339	Nizatidine	Acid-reflux disorders	530.81	K21
DAP000340	Ranitidine	Peptic ulcer disease	531-534	K25-K27
DAP000341	Famotidine	Peptic ulcer disease	531-534	K25-K27
DAP000342	Trospium	Overactive bladder disorder	188, 596.51	C67, N32.81
DAP000342	Trospium	Spasm	728.85	R25.2
DAP000343	Scopolamine	Nausea; Addiction	303-305, 787.0	F10-F19, R11
DAP000344	Tiotropium	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DAP000345	Tropicamide	Diagnosis of mydriasis	379.43	H57.0
DAP000346	Metixene	Parkinson's disease	332	F02.3, G20
DAP000347	Carbachol	Glaucoma	365	H40-H42
DAP000348	Levallorphan	Narcotic depression	304.9, 311	F19.20, F32
DAP000349	Rocuronium	General anesthesia	338	R52
DAP000351	Tubocurarine	Anesthesia	338	R52
DAP000351	Tubocurarine	Smoking withdrawl syndrom	292	F17.2
DAP000353	Pipecuronium	Anesthesia	338	R52
DAP000353	Pipecuronium	Spasms; Pain	338,780	R52, G89
DAP000354	Vecuronium	Spasms; Pain	338,780	R52, G89
DAP000355	Doxacurium	Spasms; Pain	338,780	R52, G89
DAP000356	Pentazocine	Anesthesia	338	R52
DAP000357	Sufentanil	Anesthesia	338	R52
DAP000358	Misoprostol	Medical abortion	779.6	O04
DAP000359	Alprostadil	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
DAP000360	Dinoprostone	Medical abortion	779.6	O04
DAP000361	Bumetanide	Edema associated with congestive heart failure	428.0, 782.3	I50, R60.9
DAP000362	Aprepitant	Nausea; Vomiting	787, 787.0	R11
DAP000363	Valsartan	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000364	Irbesartan	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000365	Dihydrotachysterol	Hypocalcemia; Hypoparathyroidism	252.0, 275.41	E21, E83.51
DAP000365	Dihydrotachysterol	Hypoparathyroidism	252.1	E20, E89.2, P71.4
DAP000366	Methysergide	Migraine headaches	346	G43
DAP000367	Palonosetron	Nausea; Vomiting	787, 787.0	R11
DAP000368	Dolasetron	Nausea; Vomiting	787, 787.0	R11
DAP000369	Alosetron	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DAP000370	Alfuzosin	Benign prostatic hyperplasia	600	N40
DAP000371	Terazosin	Benign prostatic hyperplasia	600	N40
DAP000372	Sotalol	Maintenance of normal sinus rhythm	427	I46-I49
DAP000373	Prochlorperazine	Nausea; Vomiting	787, 787.0	R11
DAP000374	Chlorpromazine	Schizophrenia	295, 710.0	F20, M32
DAP000375	Fluphenazine	Psychotic disorders	290-299	F20-F29
DAP000376	Tolterodine	Urinary incontinence	788.3	N39.3, N39.4, R32
DAP000377	Atropine	Organophosphate poisoning	989.3	T60.0
DAP000377	Atropine	Poison intoxication	.	T36-T50
DAP000378	Decamethonium	Muscle Relaxant	.	N39.3,N39.4,R32
DAP000380	Nalbuphine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000381	Doxazosin	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000382	Rituximab	Hematologic malignancies	200-209	C81-C96
DAP000382	Rituximab	Non-Hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
DAP000383	Ibritumomab	Non-Hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
DAP000384	Tositumomab	Non-Hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
DAP000385	Alemtuzumab	Chronic lymphocytic leukaemia	204.1, 208.9	C91-C95, C91.1
DAP000385	Alemtuzumab	Multiple sclerosis	340	G35
DAP000386	Palivizumab	Respiratory syncytial virus 	001-139, 079.6	A00-B99, B97.4
DAP000387	Omalizumab	Asthma	493	J45
DAP000387	Omalizumab	Chronic idiopathic urticaria	708	L50
DAP000388	Basiliximab	Organ transplant rejection	279.5, 996	D89.8, T86
DAP000390	Gemtuzumab ozogamicin	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DAP000391	Trastuzumab	Asthma	493	J45
DAP000391	Trastuzumab	Breast cancer	174, 175, 217	C50, D24
DAP000392	Adalimumab	Rheumatold arthritis	714	M05-M06
DAP000394	Cetuximab	Colorectal cancer	153, 154	C18-C21
DAP000395	Pegfilgrastim	Non-myeloid cancer	140-199	C00-C75, C7A, C7B
DAP000396	Teriparatide	Osteogenesis imperfecta	756.51	Q78.0
DAP000397	Octreotide	Acromegaly	253	E22.0
DAP000398	Linezolid	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000400	Amikacin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000401	Oxytetracycline	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000402	Demeclocycline	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000403	Spectinomycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000404	Netilmicin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000405	Minocycline	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000406	Kanamycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000407	Paromomycin	Acute and chronic intestinal amebiasis	6	A06
DAP000409	Clindamycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000410	Clarithromycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000411	Troleandomycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000412	Droperidol	Nausea; Vomiting	787, 787.0	R11
DAP000413	Propericiazine	Psychiatric disorders	290-319	F01-F99
DAP000413	Propericiazine	Psychotic disorders	290-299	F20-F29
DAP000414	Vardenafil	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
DAP000415	Alclometasone	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DAP000416	Beclomethasone	Asthma; Allergic rhinitis	477, 493	J30, J45
DAP000417	Triamcinolone	Allergy	995.3	T78.4
DAP000418	Flurandrenolide	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DAP000421	Fluocinonide	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DAP000422	Paramethasone	Diabetic macular edema	250, 362.01, 362.07, 362.53, 782.3	E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35.8, R60.9
DAP000422	Paramethasone	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DAP000423	Ciclesonide	Asthma	493	J45
DAP000423	Ciclesonide	Obstructive airway diseases	490-492, 494-496	J40-J44, J47
DAP000424	Metyrapone	Cushing's disease	255	E24.0
DAP000425	Loperamide	Acute diarrhea	787.91	A09, K59.1
DAP000426	Rifapentine	Tuberculosis	010-018	A15-A19
DAP000427	Zopiclone	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000428	Ardeparin	Deep vein thrombosis	437.6, 453, 453.40, 671.5, 671.9	I80-I82, I80.2
DAP000429	Melatonin	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000429	Melatonin	Sleep disorders	307.4, 327, 780.5	F51, G47
DAP000430	Promazine	Psychomotor agitation	308.2	F43.0
DAP000431	Ertapenem	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000432	Ampicillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000433	Ceftazidime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000434	Loracarbef	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000435	Dicloxacillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000436	Cefdinir	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000437	Cephalexin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000438	Carbenicillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000439	Cefixime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000440	Oxacillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000441	Meropenem	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000442	Cefaclor	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000443	Amoxicillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000444	Cefditoren	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000445	Cefuroxime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000446	Cefadroxil	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000447	Cefprozil	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000448	Cefamandole	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000449	Cefazolin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000450	Cefoperazone	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000451	Cefotetan	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000452	Cefoxitin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000453	Ceftizoxime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000454	Cefradine	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000455	Cefepime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000456	Ceftibuten	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000457	Cefpodoxime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000458	Ticarcillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000459	Imipenem	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000460	Chloramphenicol	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000462	Tazarotene	Psoriasis	696	L40
DAP000463	Paroxetine	Depression	311	F32
DAP000464	Deslanoside	Congestive cardiac insufficiency; Arrhythmias; Heart failure	427, 428	I47-I49, I50
DAP000464	Deslanoside	Congestive heart failure	428, 428.0	I50
DAP000465	Ouabain	Atrial fibrillation; Heart failure	427.31, 428.0	I48, I50
DAP000466	Ciclopirox	Fungal infection	110-118	B35-B49
DAP000467	Aluminium	Hyperhidrosis	780.8	R61
DAP000468	Almitrine	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DAP000469	Ridogrel	Acute myocardial infarction	410	I21-I22
DAP000471	Metyrosine	Pheochromocytoma	194.0, 227.0, 255.6	C74.1, D35.0
DAP000472	Hydromorphone	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000473	Abciximab	Angina	413	I20
DAP000474	Adenosine triphosphate	Dietary shortage	260-269	E40-E46
DAP000475	Minaprine	Cerebral infarction	.	I63
DAP000475	Minaprine	Depression	311	F32
DAP000476	Thioridazine	Schizophrenia	295, 710.0	F20, M32
DAP000477	Tolazoline	Peripheral vasoconstriction	443	I73
DAP000477	Tolazoline	Pulmonary hypertension	416	I27.0, I27.2
DAP000478	Phenoxybenzamine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000479	Cryptenamine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000480	Metipranolol	Angina	413	I20
DAP000480	Metipranolol	Open-angle glaucoma; Ocular hypertension	365, 365.04	H40-H42, H40.0
DAP000481	Metoprolol	Angina	413	I20
DAP000481	Metoprolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000482	Atenolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000483	Bisoprolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000484	Acebutolol	Angina	413	I20
DAP000484	Acebutolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000485	Oxprenolol	Angina	413	I20
DAP000485	Oxprenolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000486	Nicardipine	High blood pressure; Angina	401, 413	I10, I11, I12, I13, I15, I20
DAP000487	Felodipine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000488	Penciclovir	HIV infections	001-139, 042	A00-B99, B20
DAP000488	Penciclovir	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DAP000489	Famciclovir	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DAP000490	Diphenhydramine	Vertigo meniere's disease	386.0, 438.85, 780.4	H81, H81.0, R42
DAP000491	Quinine	Malaria	84	B50-B54
DAP000492	Pirenzepine	Peptic ulcer disease	531-534	K25-K27
DAP000494	Duloxetine	Depression	311	F32
DAP000495	Dofetilide	Maintenance of normal sinus rhythm	427	I46-I49
DAP000496	Amiodarone	Tachyarrhythmias	427, 785.0	I47-I49, R00.0
DAP000497	Propafenone	Tachyarrhythmias	427, 785.0	I47-I49, R00.0
DAP000498	Indapamide	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000499	Dantrolene	Malignant hyperthermia	995.86	T88.3
DAP000500	Zonisamide	Epilepsy	290-319, 345	F01-F99, G40
DAP000501	Phenacemide	Epilepsy	290-319, 345	F01-F99, G40
DAP000502	Levetiracetam	Epilepsy	290-319, 345	F01-F99, G40
DAP000503	Indecainide	Dysrhythmias	427	I47-I49
DAP000504	Disopyramide	Urinary incontinence	788.3	N39.3, N39.4, R32
DAP000504	Disopyramide	Ventricular arrhythmias	427.1	I47.2
DAP000505	Mexiletine	Ventricular arrhythmias	427.1	I47.2
DAP000506	Hexylcaine	Anesthesia	338	R52
DAP000507	Dibucaine	Anesthesia	338	R52
DAP000507	Dibucaine	Hemorrhoids	.	I84
DAP000508	Mephenytoin	Epilepsy	290-319, 345	F01-F99, G40
DAP000509	Dyclonine	Anesthesia	338	R52
DAP000509	Dyclonine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000510	Moricizine	Heart arrhythmia	.	I47-I49
DAP000510	Moricizine	Irregular heartbeats	427	I47-I49
DAP000511	Prilocaine	Anesthesia	338	R52
DAP000511	Prilocaine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000512	Ethotoin	Complex partial seizures	345.4	G40.2
DAP000513	Proparacaine	Anesthesia	338	R52
DAP000514	Benzonatate	Cough	786.2	R05
DAP000515	Quinidine	Ventricular arrhythmias	427.1	I47.2
DAP000516	Procainamide	Ventricular arrhythmias	427.1	I47.2
DAP000517	Tocainide	Ventricular arrhythmias	427.1	I47.2
DAP000518	Flecainide	Tachyarrhythmias	427, 785.0	I47-I49, R00.0
DAP000519	Encainide	Heart arrhythmia	.	I47-I49
DAP000519	Encainide	Irregular heartbeats	427	I47-I49
DAP000520	Fosphenytoin	Seizures	345.9, 780.3	G40, P90, R56
DAP000521	Chlorthalidone	Edema	.	R60.9
DAP000521	Chlorthalidone	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000522	Gliclazide	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000523	Losartan	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000524	Candesartan	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000525	Bepridil	Chronic stable angina	413	I20
DAP000526	Ethosuximide	Epilepsy	290-319, 345	F01-F99, G40
DAP000527	Riluzole	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
DAP000528	Oxcarbazepine	Epilepsy	290-319, 345	F01-F99, G40
DAP000529	Nifedipine	Angina pectoris	413	I20
DAP000530	Metoclopramide	Nausea; Vomiting	787, 787.0	R11
DAP000531	Bleomycin	Hodgkin's lymphoma	201, 202.8	C81, C81-C96
DAP000532	Cyclophosphamide	Cancers	140-239	C00-C96
DAP000533	Dacarbazine	Malignant melanoma	172, 208.9	C43, C91-C95
DAP000534	Metronidazole	Amebiasis	6	A06
DAP000535	Carboplatin	Ovarian carcinoma	183	C56
DAP000536	Dactinomycin	Cancer	140-229	C00-C96
DAP000536	Dactinomycin	Cancers	140-239	C00-C96
DAP000537	Ifosfamide	Cancers	140-239	C00-C96
DAP000538	Tetrahydrobiopterin	Dietary supplement	260-269	E40-E46
DAP000539	Griseofulvin	Dermatological disease	.	L00-L99
DAP000539	Griseofulvin	Ringworm infections	110	B35, B36
DAP000540	Alefacept	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000541	Lepirudin	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
DAP000542	Bivalirudin	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
DAP000543	Pyruvic acid	Dietary shortage	260-269	E40-E46
DAP000544	Menadione	Vitamin K deficiency	269	E56.1
DAP000545	Succinic acid	Dietary shortage	260-269	E40-E46
DAP000546	Anidulafungin	Convulsions	780.3	R56.0
DAP000546	Anidulafungin	Fungal infection	110-118	B35-B49
DAP000547	Caspofungin	Fungal infection	110-118	B35-B49
DAP000548	Micafungin	Candidiasis infection	001-139, 112	A00-B99, B37
DAP000548	Micafungin	Fungal infection	110-118	B35-B49
DAP000550	Pravastatin	Hypercholesterolemia	272	E78.0
DAP000551	Lovastatin	Hypercholesterolemia	272	E78.0
DAP000552	Simvastatin	Hypercholesterolemia	272	E78.0
DAP000553	Atorvastatin	Hypercholesterolemia	272	E78.0
DAP000554	Fluvastatin	Hypercholesterolemia	272	E78.0
DAP000555	Rosuvastatin	Elevated CRP	.	E78.0
DAP000555	Rosuvastatin	Hypercholesterolemia	272	E78.0
DAP000556	Divalproex sodium	Seizures	345.9, 780.3	G40, P90, R56
DAP000557	Vigabatrin	Epilepsy; Infantile spasms; Complex partial seizures	345, 345.4, 345.5, 345.9, 728.85, 780.3	G40, G40, G40.0, G40.2, P90, R25.2, R56
DAP000558	Tacrine	Alzheimer's disease	331.0, 331.83	G30, G31.84
DAP000559	Galantamine	Alzheimer's disease	331.0, 331.83	G30, G31.84
DAP000562	Edrophonium	Diagnosis of myasthenia gravis	358	G70.0
DAP000563	Neostigmine	Myasthenia gravis	358	G70.0
DAP000564	Clodronate	Hypercalcemia	275.42	E83.5
DAP000565	Cladribine	Hairy cell leukemia	202.4	C91.4
DAP000566	Pentostatin	Hairy cell leukemia	202.4	C91.4
DAP000567	Fludarabine	Hematological malignancies	200-209	C81-C96
DAP000568	Fomepizole	Athylene glycol or methanol poisoning	980.1, 982	T51.1, T52.3
DAP000569	Sulindac	Rheumatold arthritis	714	M05-M06
DAP000570	Levamisole	Colon cancer	153, 154	C18-C21
DAP000571	Lisdexamfetamine	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DAP000572	Dextroamphetamine	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DAP000573	Methamphetamine	Attention deficit hyperactivity disorder	314.00, 314.01	F90
